"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"HUN","Huntsman Corporation","11.23","2756319477.14","n/a","2005","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/hun",
"H","Hyatt Hotels Corporation","48.15","6684470166.6","n/a","2009","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/h",
"HY","Hyster-Yale Materials Handling, Inc.","52.9","1072377373.6","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/hy",
"IAG","Iamgold Corporation","1.43","562579883.58","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/iag",
"IBN","ICICI Bank Limited","7.93","23027455696.31","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ibn",
"IDA","IDACORP, Inc.","69.55","3501194850.4","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ida",
"IEX","IDEX Corporation","77.22","5908766832.54","n/a","1989","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/iex",
"IDT","IDT Corporation","12.01","280152057.66","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/idt",
"IHS","IHS Inc.","119.16","8124152919.84","n/a","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/ihs",
"ITW","Illinois Tool Works Inc.","93.73","34070083977.02","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/itw",
"IMN","Imation Corporation","1.39","51562978.52","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/imn",
"IMAX","Imax Corporation","36.04","2493745993.6","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/imax",
"IMPV","Imperva, Inc.","65.16","2047873957.56","n/a","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/impv",
"IMPR","Imprivata, Inc.","11.1","277567010.7","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/impr",
"IMS","IMS Health Holdings, Inc.","25.79","8474381799.88","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/ims",
"ICD","Independence Contract Drilling, Inc.","5.73","139828639.92","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/icd",
"IHC","Independence Holding Company","14.27","246346691.66","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/ihc",
"IFN","India Fund, Inc. (The)","23.76","703468996.56","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifn",
"IBA","Industrias Bachoco, S.A. de C.V.","48.08","2404000000","n/a","1997","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/iba",
"BLOX","Infoblox Inc.","19.1","1143084614.2","n/a","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/blox",
"INFY","Infosys Limited","16.84","38489830359.2","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/infy",
"HIFR","InfraREIT, Inc.","19.44","846913222.8","n/a","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hifr",
"IND","ING Group, N.V.","25.86","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/ind",
"ING","ING Group, N.V.","13.79","53213712316.73","n/a","1997","Finance","Life Insurance","http://www.nasdaq.com/symbol/ing",
"INZ","ING Group, N.V.","25.96","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/inz",
"ISF","ING Group, N.V.","25.56","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/isf",
"ISG","ING Group, N.V.","25.7499","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/isg",
"ISP","ING Group, N.V.","25.79","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/isp",
"IR","Ingersoll-Rand plc (Ireland)","55.51","14490829712.45","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ir",
"IM","Ingram Micro Inc.","30.95","4632868143.35","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/im",
"INGR","Ingredion Incorporated","96.4","6896938000","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ingr",
"IRC","Inland Real Estate Corporation","10.81","1087286350.11","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/irc",
"IRC^A","Inland Real Estate Corporation","25.35","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/irc^a",
"IRC^B","Inland Real Estate Corporation","25.63","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/irc^b",
"IPHI","Inphi Corporation","27.07","1062254059.49","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/iphi",
"NSP","Insperity, Inc.","48.46","1185174395.76","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/nsp",
"IBP","Installed Building Products, Inc.","24.63","772552658.64","n/a","2014","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/ibp",
"INST","Instructure, Inc.","22.49","596784879.34","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/inst",
"I","Intelsat S.A.","4.36","467392000","n/a","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/i",
"I^A","Intelsat S.A.","12.77","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/i^a",
"ICE","Intercontinental Exchange Inc.","254.41","27919775398.71","n/a","2005","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ice",
"IHG","Intercontinental Hotels Group","39.29","9277046988.24","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/ihg",
"IFF","Internationa Flavors & Fragrances, Inc.","120.35","9658113014.2","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/iff",
"IBM","International Business Machines Corporation","137.61","133496854438.86","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/ibm",
"IGT","International Game Technology","16.58","2864900081.08","n/a","2015","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/igt",
"IP","International Paper Company","38.12","15803291066.64","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/ip",
"IOC","InterOil Corporation","30.86","1529440455.46","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ioc",
"IPG","Interpublic Group of Companies, Inc. (The)","23.5","9549178399.5","n/a","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/ipg",
"IPL^D","Interstate Power and Light Company","25.66","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ipl^d",
"INXN","InterXion Holding N.V.","30.22","2104460360","n/a","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/inxn",
"IL","IntraLinks Holdings, Inc.","9.34","544241706.6","n/a","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/il",
"SNOW","Intrawest Resorts Holdings, Inc.","8.11","366729171.8","n/a","2014","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/snow",
"IPI","Intrepid Potash, Inc","3.23","246010446.75","n/a","2008","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/ipi",
"XON","Intrexon Corporation","31.02","3610665339.6","n/a","2013","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/xon",
"IVC","Invacare Corporation","17.74","577429300.84","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ivc",
"INVN","InvenSense, Inc.","10.43","960008490","n/a","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/invn",
"VBF","Invesco Bond Fund","17.88","203421993.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vbf",
"VCV","Invesco California Value Municipal Income Trust","13.12","627882803.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vcv",
"VTA","Invesco Credit Opportunities Fund","10.52","779471867.68","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/vta",
"VLT","Invesco High Income Trust II","12.85","104321812.65","n/a","1989","n/a","n/a","http://www.nasdaq.com/symbol/vlt",
"IVR","INVESCO MORTGAGE CAPITAL INC","12.73","1520665994.46","n/a","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ivr",
"IVR^B","INVESCO MORTGAGE CAPITAL INC","20.94","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivr^b",
"IVR^A","Invesco Mortgage Capital Inc.","21.46","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivr^a",
"OIA","Invesco Municipal Income Opportunities Trust","7.3","346206106.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/oia",
"VMO","Invesco Municipal Opportunity Trust","13.13","884870693.98","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vmo",
"VKQ","Invesco Municipal Trust","12.79","707545690.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vkq",
"VPV","Invesco Pennsylvania Value Municipal Income Trust","12.63","300967140.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vpv",
"IVZ","Invesco Plc","32.96","13970501408","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ivz",
"IQI","Invesco Quality Municipal Income Trust","12.65","668980032.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iqi",
"VVR","Invesco Senior Income Trust","4.02","723745363.2","n/a","1998","n/a","n/a","http://www.nasdaq.com/symbol/vvr",
"VTN","Invesco Trust  for Investment Grade New York Municipal","14.5","282159241","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vtn",
"VGM","Invesco Trust for Investment Grade Municipals","13.32","722280942.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vgm",
"IIM","Invesco Value Municipal Income Trust","16.22","762793397.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iim",
"ITG","Investment Technology Group, Inc.","17.41","584692547.79","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/itg",
"IRET","Investors Real Estate Trust","7.09","867997106.96","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iret",
"IRET^","Investors Real Estate Trust","25.17","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iret^",
"IRET^B","Investors Real Estate Trust","25.26","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iret^b",
"NVTA","Invitae Corporation","8.49","271051960.74","n/a","2015","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/nvta",
"IO","Ion Geophysical Corporation","0.5102","84076022.2844","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/io",
"IRM","Iron Mountain Incorporated","27.41","5787701619.43","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/irm",
"IRS","IRSA Inversiones Y Representaciones S.A.","12.43","719294839.78","n/a","n/a","Consumer Services","Homebuilding","http://www.nasdaq.com/symbol/irs",
"ICL","Israel Chemicals Shs","4.34","5533997676.48","n/a","2014","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/icl",
"STAR          ","iStar Financial Inc.","11.96","1014262035.28","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/star          ",
"STAR^D","iStar Financial Inc.","23.35","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/star^d",
"STAR^E","iStar Financial Inc.","22.65","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/star^e",
"STAR^F","iStar Financial Inc.","22.55","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/star^f",
"STAR^G","iStar Financial Inc.","22.38","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/star^g",
"STAR^I","iStar Financial Inc.","22.2","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/star^i",
"ITUB","Itau Unibanco Banco Holding SA","6.77","40282103911.08","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/itub",
"ITC","ITC Holdings Corp.","38.91","5969532823.08","n/a","2005","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/itc",
"ITT","ITT Corporation","36.36","3254220000","n/a","2011","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/itt",
"ESI","ITT Educational Services, Inc.","3.79","89724482.74","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/esi",
"IVH","Ivy High Income Opportunities Fund","12.3","203775170.1","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/ivh",
"JPM","J P Morgan Chase & Co","66.38","244353394597.26","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm",
"JPM.WS","J P Morgan Chase & Co","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm.ws",
"JPM^A","J P Morgan Chase & Co","25.24","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm^a",
"JPM^B","J P Morgan Chase & Co","27.4","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^b",
"JPM^D","J P Morgan Chase & Co","25.32","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^d",
"JPM^E","J P Morgan Chase & Co","26.183","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^e",
"JPM^F","J P Morgan Chase & Co","25.9699","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^f",
"JPM^G","J P Morgan Chase & Co","25.76","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^g",
"JPM^H","J P Morgan Chase & Co","25.78","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm^h",
"JAX","J. Alexander&#39;s Holdings, Inc.","11.45","171752690.75","n/a","2015","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/jax",
"JCP","J.C. Penney Company, Inc. Holding Company","6.91","2114487709.1","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/jcp",
"JGW","J.G. Wentworth Company (The)","1.82","45446772.28","n/a","2013","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/jgw",
"SJM","J.M. Smucker Company (The)","124.23","14867213820.84","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/sjm",
"JBL","Jabil Circuit, Inc.","23.69","4483883079.29","n/a","1993","Technology","Electrical Products","http://www.nasdaq.com/symbol/jbl",
"JEC","Jacobs Engineering Group Inc.","42.67","5229547939.85","n/a","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/jec",
"JHX","James Hardie Industries plc.","12.33","1097861621.76","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/jhx",
"JNS","Janus Capital Group, Inc","14.25","2632617461.25","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/jns",
"JOF","Japan Smaller Capitalization Fund Inc","10.1601","287875186.2693","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/jof",
"JAH","Jarden Corporation","57.36","12639505440","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/jah",
"JMI           ","Javelin Mortgage Investment Corp.","6.63","79059057.09","n/a","2012","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/jmi           ",
"JCAP","Jernigan Capital, Inc.","15.92","98107000","n/a","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/jcap",
"JKS","JinkoSolar Holding Company Limited","28.09","876234038.63","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/jks",
"JMP","JMP Group LLC","5.38","114275611.6","n/a","2007","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jmp",
"JMPB","JMP Group LLC","25.28","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jmpb",
"JMPC","JMP Group LLC","25.5","0","n/a","2014","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jmpc",
"JBT","John Bean Technologies Corporation","49.54","1443539223.48","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/jbt",
"BTO","John Hancock Financial Opportunities Fund","27.41","507866486.51","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/bto",
"HEQ","John Hancock Hedged Equity & Income Fund","14.56","199943380","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/heq",
"JHS","John Hancock Income Securities Trust","13.49","158414472.96","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jhs",
"JHI","John Hancock Investors Trust","14.4","126013204.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jhi",
"HPF","John Hancock Pfd Income Fund II","19.46","412966887.2","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/hpf",
"HPI","John Hancock Preferred Income Fund","19.75","513170451.5","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/hpi",
"HPS","John Hancock Preferred Income Fund III","17.64","555871574.16","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/hps",
"PDT","John Hancock Premium Dividend Fund","13.64","682115298.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pdt",
"HTD","John Hancock Tax Advantaged Dividend Income Fund","20.55","775449030.3","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/htd",
"HTY","John Hancock Tax-Advantaged Global Shareholder Yield Fund","9.72","95723220.96","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hty",
"JW.A","John Wiley & Sons, Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jw.a",
"JW.B","John Wiley & Sons, Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jw.b",
"JNJ","Johnson & Johnson","103.22","285603921385.38","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jnj",
"JCI","Johnson Controls, Inc.","39.89","25835824839.48","n/a","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/jci",
"JONE","Jones Energy, Inc.","3.75","231721061.25","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/jone",
